Catalog / Data Sheet,Part No.,Status,Brand,Apps.,Feature,L x W Size,T(Max.) / mm,Capacitance,Tolerance,Rated Voltage [DC] / V,Temp. Chara.,AEC- Q200
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1e225k080ab.pdf,C1608X5R1E225K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1e474k080ac.pdf,C1608X5R1E474K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1e475k080ac.pdf,C1608X5R1E475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h102k080aa_200321.pdf,C1608X5R1H102K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h103k080aa.pdf,C1608X5R1H103K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h104k080aa.pdf,C1608X5R1H104K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,100nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h105k080ab.pdf,C1608X5R1H105K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h222k080aa_200321.pdf,C1608X5R1H222K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h223k080aa.pdf,C1608X5R1H223K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,22nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h224k080ab.pdf,C1608X5R1H224K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h472k080aa_200321.pdf,C1608X5R1H472K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h473k080aa.pdf,C1608X5R1H473K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,47nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1h474k080ab.pdf,C1608X5R1H474K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1v225k080ac.pdf,C1608X5R1V225K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,35,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1v475k080ac_200817.pdf,C1608X5R1V475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,4.7μF,±10%,35,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s0g226m080ac_200817.pdf,C1608X6S0G226M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,22μF,±20%,4,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s0j106m080ac_200817.pdf,C1608X6S0J106M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,10μF,±20%,6.3,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s1a106m080ac_200817.pdf,C1608X6S1A106M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,10μF,±20%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s1a475k080ac.pdf,C1608X6S1A475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7μF,±10%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s1c225k080ac.pdf,C1608X6S1C225K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s1c475k080ac_200817.pdf,C1608X6S1C475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,4.7μF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x6s1h105k080ac.pdf,C1608X6S1H105K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,50,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1a225k080ac.pdf,C1608X7R1A225K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,10,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1c105k080ac.pdf,C1608X7R1C105K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1c224k080ac.pdf,C1608X7R1C224K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1c474k080ac.pdf,C1608X7R1C474K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1e105k080ab.pdf,C1608X7R1E105K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1e224k080ac.pdf,C1608X7R1E224K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1e474k080ab.pdf,C1608X7R1E474K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h102k080aa_200321.pdf,C1608X7R1H102K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h103k080aa.pdf,C1608X7R1H103K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf,C1608X7R1H104K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,100nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h222k080aa_200321.pdf,C1608X7R1H222K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h223k080aa.pdf,C1608X7R1H223K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,22nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h224k080ab.pdf,C1608X7R1H224K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h472k080aa_200321.pdf,C1608X7R1H472K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h473k080aa.pdf,C1608X7R1H473K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,47nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h474k080ac.pdf,C1608X7R1H474K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1v105k080ac.pdf,C1608X7R1V105K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1v224k080ab.pdf,C1608X7R1V224K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1v474k080ab.pdf,C1608X7R1V474K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7s0j106m080ac_200817.pdf,C1608X7S0J106M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,10μF,±20%,6.3,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C1608X7S1A225K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C1608X7S1A475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,4.7μF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7s1c225k080ac_210110.pdf,C1608X7S1C225K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,16,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h103j060aa.pdf,C2012C0G1H103J060AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],0.75,10nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h153j085aa.pdf,C2012C0G1H153J085AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1,15nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h223j125aa.pdf,C2012C0G1H223J125AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,22nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf,C2012C0G1H333J125AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,33nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r0g476m125ab.pdf,C2012X5R0G476M125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,47μF,±20%,4,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r0j336m125ac.pdf,C2012X5R0J336M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,33μF,±20%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r0j476m125ac.pdf,C2012X5R0J476M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,47μF,±20%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1a156m125ab.pdf,C2012X5R1A156M125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,15μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1a226m125ab.pdf,C2012X5R1A226M125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,22μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1a336m125ac.pdf,C2012X5R1A336M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,33μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1a476m125ac.pdf,C2012X5R1A476M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,47μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1c156m125ac.pdf,C2012X5R1C156M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,15μF,±20%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1c225k125aa.pdf,C2012X5R1C225K125AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,2.2μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1c226m125ac_20190710.pdf,C2012X5R1C226M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,22μF,±20%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1c475k125ac.pdf,C2012X5R1C475K125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,4.7μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1e105k125aa.pdf,C2012X5R1E105K125AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,1μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C2012X5R1E106K125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,10μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1e156m125ac.pdf,C2012X5R1E156M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,15μF,±20%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1e225k125ac.pdf,C2012X5R1E225K125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,2.2μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1e226m125ac_20190710.pdf,C2012X5R1E226M125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,22μF,±20%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C2012X5R1E475K125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,4.7μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1h105k125ab.pdf,C2012X5R1H105K125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,1μF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1h106k125ac_211020.pdf,C2012X5R1H106K125AC,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.5,10μF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1h224k125aa.pdf,C2012X5R1H224K125AA,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,220nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1h225k125ab.pdf,C2012X5R1H225K125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,2.2μF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x5r1h474k125ab.pdf,C2012X5R1H474K125AB,Production,TDK,Commercial Grade,General (Up to 75V),2.0mm x 1.25mm [EIA 0805],1.45,470nF,±10%,50,X5R,NO
